"Año";"Periodo";"Accidentes de tráfico"
"1993";"Año";"6.378"
"1994";"Año";"5.615"
"1995";"Año";"5.751"
"1996";"Año";"5.483"
"1997";"Año";"5.604"
"1998";"Año";"5.957"
"1999";"Año";"5.738"
"2000";"Año";"5.776"
"2001";"Año";"5.517"
"2002";"Año";"5.347"
"2003";"Año";"5.399"
"2004";"Año";"4.741"
"2005";"Año";"4.442"
"2006";"Año";"4.104"
"2007";"Año";"3.823"
"2008";"Año";"3.100"
"2009";"Año";"2.714"
"2010";"Año";"2.478"
"2011";"Año";"2.060"
"2012";"Año";"1.903"
"2013";"Año";"1.680"
"2014";"Año";"1.688"
"2015";"Año";"1.689"
"2016";"Año";"1.810"
"2017";"Año";"1.830"
"2018";"Año";"1.806"
"2019";"Año";"1.755"
;;
;;
"Métrica":"Accidentes de tráfico"
"Fuente":"DGT"
"Clasificación":""
"Unidad":"Fallecidas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/muertos-accidentes-trafico-vias-urbanas-interurbanas/83166792-22f9-4c0f-8be9-392f0dd432a1/espana/106"
"Titulo":"Muertos en accidentes de tráfico en vías urbanas e interurbanas"
"Subtitulo":"(Datos a 30 días después del accidente)"
